Disable For Seller Product,Disable For Seller Product
Are you sure you want to Disable selected attribute from front?,Are you sure you want to Disable selected Attribute from Front?
Enable For Seller Product,Enable For Seller Product
Are you sure you want to display selected attribute from front?,Are you sure you want to Display selected Attribute from Front?
Attribute Name,Attribute Name
Custom Attributes,Custom Attributes
Manage Custom Attribute,Manage Custom Attribute
Attribute Code,Attribute Code
Attribute Label,Attribute Label
Manage Custom Attributes for Seller Product,Manage Custom Attributes for Seller Product
Attribute ID,Attribute ID
You haven't selected any items!,You haven't selected any items!
Attention,Attention
Show in Front,Show in Front
